Spill,Location,Dates,MinTonnes,MaxTonnes,Owner,Coords
El Palito Refinery,"Venezuela, Golfo Triste",8 August 2020,"2,700","2,700",Petróleos de Venezuela,10.694448;-68.201062
2020 Pointe D'Esny  MV Wakashio oil spill,"Mauritius, Ile Aux Aigrettes and Mahebourg",25 July 2020,"1,300","4,300","Wakashio Suisan Company Limited, Kagoshima, Japan",-20.438119;57.744631
Trans Mountain oil spill,"Canada, British Columbia, Abbotsford",14 June 2020,118.5,184.87,Trans Mountain,49.064499; -122.159002
Norilsk diesel fuel spill,"Russia, Norilsk, Krasnoyarsk Krai",29 May 2020,"17,500","17,500",Nornickel,69.379444;87.744444
Tanker truck pumping out sludge from a vessel,"New Zealand, Tauranga, Bay of Plenty",30 March 2020,1.7,1.7,,-37.660155;176.231307
T.G. Williams Well No. 1 tank battery,"United States, Oakland Creek, Longview",30 March 2020,,,Fortune Resources,32.529057;-94.733881
Greka Energy oil facility,"United States, Santa Maria",30 March 2020,,,Greka,34.931417;-120.434825
True Oil pipeline,"United States, North Dakota, Red Wing Creek",27 March 2020,,,True Oil LLC,47.535229;-103.500292
Tanker truck rollover,"United States, Santa Maria, Cuyama River",21 March 2020,14.6,19.5,,34.903498;-120.311884
Keystone Pipeline 2019 spill,"United States, Walsh County, North Dakota",29 October 2019,"1,240","1,240",TransCanada Corporation,48.324247;-97.770848
Willowton Oil,"South Africa, KwaZulu-Natal, near Pietermaritzburg and Durban",August 2019,,,Willowton Group,-29.578997;30.408301
North East Brazil oil spill (suspected source: NM Bouboulina),"Brazil, 733 km from Paraiba",29 July 2019,,,Delta Tankers Ltd.,-6.680412;-31.728004
Guarello Island iron ore export terminal diesel spill,"Chile, Guarello Island, Magallanes Region",27 July 2019,35.4,35.4,Compañía de Acero del Pacífico,-50.385743;-75.352057
MV Chrysanthi S bunkering spill at sea,"South Africa, Algoa Bay, Port of Ngqura",6 July 2019,0.2,0.4,SA Marine Fuels (bunkering service company),-33.805032;25.687841
MV Solomon Trader fuel oil spill,"Solomon Islands, Rennell Island",5 February 2019,75,80,South Express Ltd,-11.663866;160.264653
SeaRose FPSO production ship spill,"Canada, St. John's, Newfoundland and Labrador",16 November 2018,219,219,Husky Energy,47.562733;-52.704230
Ulysse-Virginia collision,North of Corsica (international waters),October 2018,,,,43.294105;9.141320
Port Erin diesel spill (source ),Isle of Man,23 July 2018,,,,54.086;-4.756
"Doon, Iowa derailment","United States, Lyon County, Iowa",22 June 2018,520,520,BNSF Railway,43.377002;-96.206236
Sanchi oil tanker collision with CF Crystal,East China Sea,6 January 2018,"138,000","138,000",National Iranian Tanker Company,30.332102;125.955678
Keystone Pipeline 2017 spill,"United States, Marshall County, South Dakota",16 November 2017,"1,322","1,322",TransCanada Corporation,48.361571;-97.751245
Delta House floating production platform spill,"United States, Gulf of Mexico, near Louisiana",11 October 2017 – 12 October 2017,"1,080","1,280",LLOG Exploration,27.503633;-90.041156
Agia Zoni II,"Greece, Saronic Gulf, Salamis",10 September 2017,"2,500","2,500",Fos Petroleum SA,37.940739;23.458676
